FID,field_number,health_category,category_confidence,date,tsn,organization,geom
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bff,NFS-176,Malnutrition,Suspected,2006-10-30,180627,TMMC,POINT (-121.929 36.964)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bfe,NFS-214,Malnutrition,Diagnosed,2007-11-17,180627,TMMC,POINT (-122.446 37.807)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bfd,NFS-198,Infectious Disease - non-specific,Diagnosed,2006-11-30,180627,TMMC,POINT (-122.449 37.439)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bfc,NFS-231,Other,Diagnosed,2008-11-03,180627,TMMC,POINT (-122.965281 38.013409)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bfb,NFS-153,Biotoxin,Diagnosed,2005-07-28,180627,TMMC,POINT (-120.636 35.074)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bfa,NFS-242,Other,Diagnosed,2010-11-19,180627,TMMC,POINT (-120.897 35.434)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf9,SWC-Cu-0829B,Trauma - other,Suspected,2008-01-29,180627,SWC,POINT (-117.26944 32.972802)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf8,NFS-169,Malnutrition,Diagnosed,2006-09-11,180627,TMMC,POINT (-120.63 35.051)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf7,NFS-231,Infectious Disease - non-specific,Diagnosed,2008-11-03,180627,TMMC,POINT (-122.965281 38.013409)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf6,NFS-218,Unknown,Suspected,2008-04-26,180627,TMMC,POINT (-126.8945 38.409333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf5,NFS-190,Malnutrition,Diagnosed,2006-11-18,180627,TMMC,POINT (-121.914 36.959)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf4,NFS-227,Malnutrition,Suspected,2008-10-24,180627,TMMC,POINT (-120.871 35.369)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf3,NFS-158,Biotoxin,Diagnosed,2005-08-08,180627,TMMC,POINT (-120.637 35.066)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf2,NFS-189,Malnutrition,Diagnosed,2007-04-18,180627,TMMC,POINT (-122.52 37.547)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf1,NFS-222,Malnutrition,Suspected,2008-10-12,180627,TMMC,POINT (-120.652 35.141)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bf0,NFS-231,Malnutrition,Diagnosed,2008-11-03,180627,TMMC,POINT (-122.965281 38.013409)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bef,08-344,Other,Diagnosed,2008-10-24,180627,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bee,NFS-207,Trauma - human interaction,Diagnosed,2007-08-09,180627,TMMC,POINT (-123.019706 38.304524)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bed,NFS-163,Biotoxin,Diagnosed,2005-08-20,180627,TMMC,POINT (-120.641 35.031)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bec,NFS-235,Malnutrition,Diagnosed,2009-03-10,180627,TMMC,POINT (-120.649 35.138)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7beb,NFS-232,Malnutrition,Diagnosed,2008-11-22,180627,TMMC,POINT (-121.877 36.929)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bea,NFS-229,Malnutrition,Suspected,2008-10-27,180627,TMMC,POINT (-121.857 36.909)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be9,NFS-171,Malnutrition,Diagnosed,2006-10-16,180627,TMMC,POINT (-120.871 35.369)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be8,NFS-216,Malnutrition,Suspected,2007-11-27,180627,TMMC,POINT (-122.755638 37.92779)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be7,NFS-215,Malnutrition,Diagnosed,2007-11-24,180627,TMMC,POINT (-121.944 36.624)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be6,NFS-196,Infectious Disease - non-specific,Diagnosed,2006-11-27,180627,TMMC,POINT (-121.851 36.902)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be5,NFS-210,Malnutrition,Diagnosed,2007-10-28,180627,TMMC,POINT (-122.401 37.358)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be4,NFS-205,Biotoxin,Suspected,2007-04-14,180627,TMMC,POINT (-120.64 35.044)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be3,NFS-163,Other,Diagnosed,2005-08-20,180627,TMMC,POINT (-120.641 35.031)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be2,NFS-168,Unknown,Suspected,2006-04-05,180627,TMMC,POINT (-120.637 35.057)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be1,NFS-196,Malnutrition,Diagnosed,2006-11-27,180627,TMMC,POINT (-121.851 36.902)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7be0,NFS-167,Malnutrition,Diagnosed,2005-10-09,180627,TMMC,POINT (-120.64 35.122)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bdf,NFS-172,Malnutrition,Diagnosed,2006-10-17,180627,TMMC,POINT (-121.803 36.836)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bde,NFS-173,Malnutrition,Diagnosed,2006-10-24,180627,TMMC,POINT (-121.839 36.883)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bdd,NFS-211,Malnutrition,Diagnosed,2007-11-12,180627,TMMC,POINT (-121.832 36.871)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bdc,"NFS-204
",Biotoxin,Diagnosed,2007-04-08,180627,TMMC,POINT (-120.883 35.289)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bdb,NFS-186,Malnutrition,Diagnosed,2006-11-14,180627,TMMC,POINT (-121.825 36.86)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bda,NFS-209,Malnutrition,Diagnosed,2007-10-28,180627,TMMC,POINT (-121.945 36.962)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd9,NFS-234,Malnutrition,Suspected,2008-11-28,180627,TMMC,POINT (-121.945 36.962)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd8,NFS-193,Malnutrition,Diagnosed,2006-11-23,180627,TMMC,POINT (-122.312 37.889)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd7,NFS-155,Biotoxin,Diagnosed,2005-08-05,180627,TMMC,POINT (-120.893 35.282)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd6,NFS-225,Malnutrition,Diagnosed,2008-10-19,180627,TMMC,POINT (-123.10136 38.403354)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd5,NCMMC-09-111,Malnutrition,Diagnosed,2009-12-24,180627,TMMC,POINT (-124.208679 40.807503)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd4,HJB0031,Infectious Disease - non-specific,Diagnosed,1986-04-24,555654,SWFSC,POINT (-117.283333 33)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd3,KXD0175,Trauma - human interaction,Diagnosed,2010-01-13,555654,SWFSC,POINT (-117.25 32.883333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd2,KXD0145,Biotoxin,Suspected,2008-03-09,555654,SWFSC,POINT (-117.366666 33.166666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd1,JRH0049,Infectious Disease - non-specific,Suspected,1979-07-26,555654,SWFSC,POINT (-117.266666 32.95)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bd0,08-DOA-01,Unknown,Unknown,2008-02-11,555654,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bcf,07-DOA-06,Unknown,Unknown,2007-12-14,555654,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bce,SJC0012,Neoplasia,Diagnosed,2005-04-07,555654,SWFSC,POINT (-117.25 32.883333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bcd,KXD0218,Infectious Disease - non-specific,Diagnosed,2012-07-05,555654,SWFSC,POINT (-117.266666 32.95)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bcc,NEB0039,Unknown,Diagnosed,2012-05-03,555654,SWFSC,POINT (-117.25 32.866666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bcb,C-313,Infectious Disease - non-specific,Diagnosed,2009-10-09,555654,TMMC,POINT (-121.1934 35.642)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bca,KXD0201,Trauma - human interaction,Diagnosed,2011-03-07,555654,SWFSC,POINT (-117.366666 33.183333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc9,KXD0120,Trauma - human interaction,Suspected,2007-05-28,555654,SWFSC,POINT (-117.4 33.2)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc8,07-DOA-05,Infectious Disease - known pathogen,Diagnosed,2007-08-18,555654,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc7,SJC0016,Trauma - human interaction,Diagnosed,2007-05-31,555654,SWFSC,POINT (-117.4 33.2)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc6,07-DOA-04,Biotoxin,Suspected,2007-05-13,555654,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc5,07-DOA-03,Biotoxin,Suspected,2007-04-19,555654,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc4,KXD0124,Trauma - human interaction,Diagnosed,2007-06-05,555654,SWFSC,POINT (-117.383333 33.2)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc3,07-DOA-02,Biotoxin,Suspected,2007-04-18,555654,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc2,07-104,Biotoxin,Diagnosed,2007-04-16,555654,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc1,07-DOA-01,Other,Unknown,2007-02-17,555654,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bc0,C-313,Other,Diagnosed,2009-10-09,555654,TMMC,POINT (-121.1934 35.642)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bbf,NEB0002,Infectious Disease - non-specific,Diagnosed,2010-03-02,555654,SWFSC,POINT (-117.383333 33.2)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bbe,KXD0123,Trauma - human interaction,Diagnosed,2007-06-02,555654,SWFSC,POINT (-117.366666 33.166666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bbd,2010-19,Biotoxin,Unknown,2010-07-19,555654,SBMNH,POINT (-119.39226 34.32042)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bbc,2009-24,Unknown,Unknown,2009-11-05,555654,SBMNH,POINT (-119.306 34.273)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bbb,2007-13,Unknown,Unknown,2007-06-28,555654,SBMNH,POINT (-119.27589 34.26394)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bba,2007-17,Unknown,Unknown,2007-09-11,555654,SBMNH,POINT (-119.27586 34.2639)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb9,2009-01,Unknown,Unknown,2009-01-15,555654,SBMNH,POINT (-119.265885 34.248484)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb8,KXD0119,Biotoxin,Suspected,2007-04-29,555654,SWFSC,POINT (-117.416666 33.216666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb7,JLL0005,Other,Diagnosed,2008-05-21,555654,SWFSC,POINT (-117.25 32.866666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb6,2010-22,Unknown,Unknown,2010-07-21,555654,SBMNH,POINT (-119.253845 34.216269)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb5,C-218,Other,Diagnosed,2006-08-06,555654,TMMC,POINT (-120.629 35.09)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb4,2010-21,Other,Unknown,2010-07-19,555654,SBMNH,POINT (-119.253845 34.216269)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb3,2010-11,Infectious disease - non-specific,Unknown,2010-04-18,555654,SBMNH,POINT (-119.253845 34.216269)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb2,2010-20,Other,Unknown,2010-07-19,555654,SBMNH,POINT (-119.249 34.19713)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb1,2010-14,Unknown,Unknown,2010-06-21,555654,SBMNH,POINT (-119.23788 34.17743)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bb0,2010-12,Unknown,Unknown,2010-06-13,555654,SBMNH,POINT (-119.235253 34.173267)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7baf,KXD0029,Trauma - human interaction,Diagnosed,2002-05-22,555654,SWFSC,POINT (-117.4 33.216666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bae,2005-13,Biotoxin,Unknown,2005-08-16,555654,SBMNH,POINT (-120.00211 34.4584)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bad,2009-11,Biotoxin,Unknown,2009-03-31,555654,SBMNH,POINT (-120.06703 34.46259)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bac,2005-19,Unknown,Unknown,2005-09-20,555654,SBMNH,POINT (-119.2289 34.16028)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7bab,2010-15,Unknown,Unknown,2010-06-21,555654,SBMNH,POINT (-119.22729 34.15873)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7baa,2007-06,Biotoxin,Unknown,2007-04-11,555654,SBMNH,POINT (-119.10095 34.0911)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba9,2007-08,Biotoxin,Unknown,2007-04-18,555654,SBMNH,POINT (-119.08911 34.09958)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba8,2007-18,Unknown,Unknown,2007-09-11,555654,SBMNH,POINT (-119.22754 34.15785)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba7,2009-13,Biotoxin,Unknown,2009-04-28,555654,SBMNH,POINT (-119.1475 34.11184)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba6,2009-10,Biotoxin,Unknown,2009-03-24,555654,SBMNH,POINT (-119.18093 34.1337)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba5,KXD0075,Trauma - human interaction,Diagnosed,2004-08-26,555654,SWFSC,POINT (-117.25 32.866666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba4,2007-22,Trauma - other,Unknown,2007-09-26,555654,SBMNH,POINT (-119.219 34.15127)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba3,2008-04,Unknown,Unknown,2008-02-28,555654,SBMNH,POINT (-119.2254 34.1568)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba2,2007-02,Biotoxin,Unknown,2007-01-26,555654,SBMNH,POINT (-119.22232 34.15474)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba1,KXD0069,Trauma - other,Suspected,2004-07-09,555654,SWFSC,POINT (-117.25 32.866666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7ba0,NEB0053,Infectious Disease - known pathogen,Diagnosed,2013-02-02,555654,SWFSC,POINT (-117.266666 32.85)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b9f,GSV0002,Trauma - human interaction,Diagnosed,2009-04-09,555654,SWFSC,POINT (-117.283333 33.016666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b9e,KXD0117,Infectious Disease - known pathogen,Diagnosed,2007-04-25,555654,SWFSC,POINT (-117.266666 32.85)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b9d,KXD0219,Infectious Disease - known pathogen,Diagnosed,2012-07-30,555654,SWFSC,POINT (-117.283333 32.833333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b9c,KXD0028,Trauma - human interaction,Diagnosed,2002-05-22,555654,SWFSC,POINT (-117.383333 33.216666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b9b,KXD0066,Trauma - human interaction,Diagnosed,2004-05-19,555654,SWFSC,POINT (-117.383333 33.216666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b9a,NEB0033,Trauma - human interaction,Diagnosed,2011-09-01,555654,SWFSC,POINT (-117.266666 32.8)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b99,KXD0077,Trauma - human interaction,Diagnosed,2004-08-30,555654,SWFSC,POINT (-117.416666 33.233333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b98,KXD0163,Infectious Disease - non-specific,Diagnosed,2009-04-22,555654,SWFSC,POINT (-117.416666 33.233333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b97,SW090381,Malnutrition,Diagnosed,2009-06-08,555654,SWFSC,POINT (-117.266666 32.8)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b96,KXD0229,Trauma - other,Diagnosed,2012-12-18,555654,SWFSC,POINT (-117.433333 33.25)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b95,SWC-Dc-1156B,Other,Suspected,2011-10-11,555654,SWFSC,POINT (-117.266666 32.933333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b94,SW120397,Other,Diagnosed,2012-05-05,555654,SWFSC,POINT (-117.25 32.783333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b93,SWC-Dc-1159B,Trauma - other,Diagnosed,2011-10-25,555654,SWFSC,POINT (-117.25 32.783333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b92,SW060261,Biotoxin,Suspected,2006-04-16,555654,SWFSC,POINT (-117.25 32.783333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b91,NEB0005,Trauma - human interaction,Diagnosed,2010-04-16,555654,SWFSC,POINT (-117.45 33.283333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b90,KXD0103,Biotoxin,Suspected,2006-04-16,555654,SWFSC,POINT (-117.466666 33.3)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b8f,SW100854,Infectious Disease - non-specific,Diagnosed,2010-10-18,555654,SWFSC,POINT (-117.233333 32.716666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b8e,GSV0001,Infectious Disease - non-specific,Diagnosed,2008-10-26,555654,SWFSC,POINT (-117.2 32.683333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b8d,SWC-DC-06-06B,Infectious disease - non-specific,Diagnosed,2006-01-15,555654,SWC,POINT (-118.535257 34.034319)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b8c,SW120288,Trauma - human interaction,Diagnosed,2012-04-06,555654,SWFSC,POINT (-117.166666 32.666666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b8b,KXD0167,Trauma - human interaction,Diagnosed,2009-05-18,555654,SWFSC,POINT (-117.166666 32.666666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b8a,KXD0207,Trauma - other,Diagnosed,2011-07-17,555654,SWFSC,POINT (-117.266666 32.933333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b89,KXD0052,Infectious Disease - non-specific,Diagnosed,2003-10-15,555654,SWFSC,POINT (-117.166666 32.666666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b88,KXD0135,Biotoxin,Suspected,2007-07-09,555654,SWFSC,POINT (-117.133333 32.633333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b87,2005-16,Trauma - other,Unknown,2005-08-24,555654,SBMNH,POINT (-120.88147 35.29043)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b86,JHY0008,Trauma - human interaction,Diagnosed,2009-12-17,555654,SWFSC,POINT (-117.15 32.633333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b85,KXD0133,Biotoxin,Suspected,2007-07-09,555654,SWFSC,POINT (-117.15 32.633333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b84,HJB0029,Trauma - human interaction,Diagnosed,1986-04-14,555654,SWFSC,POINT (-117.3 33.05)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7b83,NEB0020,Trauma - human interaction,Diagnosed,2001-01-30,555654,SWFSC,POINT (-117.15 32.633333)
