County Name,Water Body Name,Advisory Level,Incident Updated On,Bloom Determined By,BloomLastVerifiedOn,Description,Water Body Manager_Clean,Rec Land Manager_Clean,County Name,Has Contact With Water,Incident Information,Is Incident Resoloved,First Report,Water Body Name,Rec Land Manager,Regional Water Board,TypeofSign,Water Body Manager,Water Body Type,DetailStaticText,Latitude1,Longitude1
Imperial,"Wister Wildlife Unit, cell 312B",Last verified >30 days ago,6/25/2021,Both,6/14/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,CDFW,NA,Imperial,FALSE,"The Colorado Regional Water Board is sampling as part of an ongoing 12 month assessment of the Wister Unit. The results from sampling at this site are provided below
-----------------------------------------------------------
06/25/2021: Water samples collected on 6/14 at cell 312C. For the 4 cyanotoxins analyzed, all non-detect except for low levels of saxitoxin 

02-22-2021: Water sample collected, very low concentration of saxitoxin detected.

02/05/2021: Water sample collected on 1/25. Results for four cyanotoxins were non-detect and low amount ofAnabaena were observed by microscope. No advisory.",FALSE,12/29/2020,"Wister Wildlife Unit, cell 312B",,Region 7 - Colorado River,None,CDFW,constructed wetland,Detail,33,-116
Imperial,"Wister Wildlife Unit, cell Y16A",Last verified >30 days ago,6/25/2021,Both,6/14/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,CDFW,na,Imperial,FALSE,"The Colorado Regional Water Board is sampling as part of an ongoing 12 month assessment of the Wister Unit. The results from sampling at this site are provided below
-----------------------------------------------------------
6/25/2021: Samples collected on 6/14. Microcystins at 0.90 ug/L. Caution advisory recommended.

4/2/2021: Water sample collected on 3/22 detected no cyanotoxins. No advisory. 

02/22/2021: Water sample collected; no cyanotoxins were detected.

02/05/2021: Water sample collected on 1/25. Results for four cyanotoxins were non-detect and no cyanobacteria were observed by microscope. No advisory.",FALSE,12/29/2020,"Wister Wildlife Unit, cell Y16A",na,Region 7 - Colorado River,Caution,CDFW,constructed wetland,Detail,33,-116
Inyo,Crystal Lake,Last verified >30 days ago,6/30/2021,Both,6/22/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Inyo,TRUE,"6/22/21 -  Microscopy id identified generally clear water with only a low amount of eukaryotic algae, and no cyanobacteria were found. No advisory.",FALSE,6/22/2021,Crystal Lake,,Region 6 - Lahontan,None,,Lake,Detail,38,-119
Inyo,Diaz Lake - Beach Area Near Dock,Last verified >30 days ago,6/22/2021,Both,6/14/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,Inyo County,Inyo,FALSE,"6/14/21: Regional Board Staff partnered with Inyo County Department of Environmental Health to sample Diaz lake as part of the Independence day pre-holiday assessment. The lab analysis indicates the sample contained a low amount of eukaryotic algae; however, no cyanobacteria were observed.",FALSE,6/14/2021,Diaz Lake - Beach Area Near Dock,Inyo County,Region 6 - Lahontan,None,,Lake,Detail,37,-118
Inyo,Diaz Lake - Tent Area,Last verified >30 days ago,6/23/2021,Both,6/14/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,Inyo County,Inyo,FALSE,"6/14/21: Regional Board Staff partnered with Inyo County Department of Environmental Health to sample Diaz lake as part of the Independence day pre-holiday assessment. Microscopic identification showed a moderate amount of showed the presence of a moderately low amount of the cyanobacteria Dolichospermum sp. QPCR was performed and detected 44,365 copied/mL of the cells that have the ability to produce the toxin Microcystin, so toxin analysis was performed for Microcystin. ELISA indicated the toxin Microcystin at 0.35 ug/L which is below the Caution Trigger Level (0.8 ug/L).",FALSE,6/14/2021,Diaz Lake - Tent Area,Inyo County,Region 6 - Lahontan,None,,Lake,Detail,37,118
Inyo,Horseshoe Lake - South East Shore,Last verified >30 days ago,6/30/2021,Both,6/22/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Inyo,TRUE,"Lahontan and UC Davis are partnering to study lakes throughout the Sierras that are in high elevations to see if they are blooming. We are focusing our efforts on a watershed basis, and the lakes included in this watershed are Lake Mary, Lake George, and Horseshoe Lake.
--------------------------------------------------------------------------------
6/22/21- Microscopy id identified generally clear water with only a low amount of eukaryotic algae, and no cyanobacteria were found. No advisory.",FALSE,6/22/2021,Horseshoe Lake - South East Shore,,Region 6 - Lahontan,None,,Lake,Detail,38,-119
Inyo,Lake George - North West of Boat Rental,Last verified >30 days ago,6/30/2021,Both,6/22/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Inyo,FALSE,"Lahontan and UC Davis are partnering to study lakes throughout the Sierras that are in high elevations to see if they are blooming. We are focusing our efforts on a watershed basis, and the lakes included in this watershed are Lake Mary, Lake George, and Horseshoe Lake.
-------------------------------------------------------------------------------
6/22/21 – Microscopy id identified quite clear water with only a low amount of indistinguishable detritus and/or sediment, and no cyanobacteria were found. No advisory.",FALSE,6/22/2021,Lake George - North West of Boat Rental,,Region 6 - Lahontan,None,,Lake,Detail,38,-119
Inyo,Lake Mary - North West Shoreline,Last verified >30 days ago,6/30/2021,Both,6/22/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Inyo,TRUE,"Lahontan and UC Davis are partnering to study lakes throughout the Sierras that are in high elevations to see if they are blooming. We are focusing our efforts on a watershed basis, and the lakes included in this watershed are Lake Mary, Lake George, and Horseshoe Lake.
-------------------------------------------------------------------------------
6/22/21 – Microscopy id identified generally clear water with only a low amount of eukaryotic algae, and no cyanobacteria were found. No advisory.",FALSE,6/22/2021,Lake Mary - North West Shoreline,,Region 6 - Lahontan,None,,Lake,Detail,38,-119
Kern,Cedar Creek ~0.7mi above Hwy 155,Last verified >30 days ago,6/30/2021,Both,6/9/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Kern,FALSE,"The Water Boards is performing an ambient monitoring study in coordination with the SWAMP Bioassessment Reference Condition Monitoring Program to collect toxic algal samples in wadeable streams. In 2021, samples will be collected twice at each monitoring station in areas with absent or minimal human disturbance in coordination with California Department of Fish and Wildlife. This study is to better characterize toxic algal mat presence throughout the state of California. The lab results and recommendations for this site is below.
………………………………………………………………………………………………….
6/8/2021: samples were collected for lab analysis. Results were non-detect for cyanotoxins. No recommended advisory.",FALSE,6/9/2021,Cedar Creek ~0.7mi above Hwy 155,,Unknown Region,none,,creek,Detail,36,-119
Kern,Four Island Lake Bear Valley Springs,Last verified >30 days ago,6/30/2021,Observation,6/20/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,Community HOA,Kern,TRUE,Report submitted concerning potential HAB at lake within gated residential community. The lake is heavily used for recreation and local organization has collected samples for lab analysis. This report will be updated after lab results are available.,FALSE,6/20/2021,Four Island Lake Bear Valley Springs,Community HOA,Region 5 - Central Valley,See incident details,,,Detail,35,-119
Kern,"Lake Isabella, Auxiliary Dam Boat Launch",None,8/5/2021,Both,8/3/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms, normally May-Nov or when blooms end. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/. For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella Auxiliary Dam Boat Launch results are also shown below:
---------------------------------------------------------
8/5/21: Water sample collected on 8/3 microcystins were detected at 0.479 ug/L. No advisory is posted.

7/1/21: Water sample collected on 6/9 detected microcystins and anatoxin-a. Caution advisory is posted.

5/25/2021: Water sample collected on 5/6 detected 8 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were not-detected. Visual bloom confirmed. Warning advisory posted. 

4/08/2021: Water sample collected on 4/02/21 detected 0.51 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. Visual indicators of bloom present. Caution advisory recommended.

3/09/2021: Water sample collected on 3/02/21. Microcystins, anatoxin-a and cylindrospermopsin were below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect anatoxin-a and cylindrospermopsin. Low concentration of microcystins detected. No advisory posted.

1/8/2021: January water sample not collected because access is closed for the season. Caution advisory removed by Kern County.

1/4/2021: Caution advisory continues from December 2020.",FALSE,1/5/2021,"Lake Isabella, Auxiliary Dam Boat Launch",Kern County (661) 862-8740,Region 5 - Central Valley,None,Kern County and US Army Corps of Engineers,Lake and Reservoir,Detail,36,-118
Kern,"Lake Isabella, Camp Nine South",Last verified >30 days ago,7/2/2021,Both,6/9/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/. For more info, contact Kern County Public Health at (661) 862-8740.
------------------------------------------------------------------------
7/1/21: Water sample collected on 6/9 detected microcystins and anatoxin-a. Caution advisory is posted.

5/25/2021: Water sample collected on 5/6 detected 1.8 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were not-detected. Visual bloom confirmed. Caution advisory posted. 

4/08/2021: Water sample collected on 4/02/21 detected 1.14 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. Surface bloom not visible. Caution advisory posted. 

3/09/2021: Water sample collected on 3/02/21 detected microcystins. Results for anatoxin-a and cylindrospermopsin were below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect microcystins, anatoxin-a and cylindrospermopsin. No advisory posted.",FALSE,1/20/2021,"Lake Isabella, Camp Nine South",Kern County (661) 862-8740,Region 5 - Central Valley,Caution,Kern County and US Army Corps of Engineers,Lake,Detail,36,-118
Kern,"Lake Isabella, French Gulch Campground East",None,8/5/2021,Both,8/3/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms, normally May-Nov or when blooms end. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/. For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella French Gulch Campground E results are also shown below:
---------------------------------------------------------
8/5/21: Water sample collected on 8/3 microcystins were detected at low levels. No advisory is posted.

7/1/21: Water sample collected on 6/9 detected microcystins and anatoxin-a. Caution advisory is posted.

5/25/2021: Water sample collected on 5/6 detected 36 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were not-detected. Visual bloom confirmed. Danger advisory posted. 

4/08/2021: Water sample collected on 4/02/21 detected 4.3 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. Surface bloom visible. Caution advisory posted. 

3/09/2021: Water sample collected on 3/02/21. Microcystins, anatoxin-a and cylindrospermopsin were  below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect microcystins and anatoxin-a. Low concentration of cylindrospermopsin detected. No advisory posted.

1/8/2021: Water sample collected near shoreline. Testing did not detect microcystins, anatoxin-a and cylindrospermopsin . No advisory posted.",FALSE,1/6/2021,"Lake Isabella, French Gulch Campground East",Kern County (661) 862-8740,Region 5 - Central Valley,None,Kern County and US Army Corps of Engineers,Lake,Detail,36,-118
Kern,"Lake Isabella, French Gulch Campground West",None,8/5/2021,Both,8/3/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms, normally May-Nov or when blooms end. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/. For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella French Gulch Campground W results are also shown below:
---------------------------------------------------------
8/5/21: Water sample collected on 8/3 microcystins were detected at low levels. No advisory is posted.

7/1/21: Water sample collected on 6/9 detected microcystins and anatoxin-a. Caution advisory is posted.

5/25/2021: Water sample collected on 5/6 detected 0.2 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were not-detected. Visual indicators of bloom present, Caution advisory recommended. 

4/08/2021: Water sample collected on 4/02/21 detected 0.32 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. No visual indicators of bloom present. No advisory posted.


3/09/2021: Water sample collected on 3/02/21 detected 0.178 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect anatoxin-a and cylindrospermopsin. Low concentration of microcystins detected. No advisory posted.

1/8/2021: Water sample collected near shoreline. Testing did not detect microcystins, anatoxin-a and cylindrospermopsin non-detect. No advisory posted.",FALSE,1/6/2021,"Lake Isabella, French Gulch Campground West",Kern County (661) 862-8740,Region 5 - Central Valley,None,Kern County and US Army Corps of Engineers,Lake,Detail,36,-118
Kern,"Lake Isabella, French Gulch Marina",None,8/5/2021,Both,8/3/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms, normally May-Nov or when blooms end. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/. For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella French Gulch Marina results are also shown below:
---------------------------------------------------------
8/5/21: Water sample collected on 8/3 microcystins were detected at low levels. No advisory is posted.

7/1/21: Water sample collected on 6/9 detected microcystins below the caution advisory level. Advisory was removed by the County.

5/25/2021: Water sample collected on 5/6 detected 1.3 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were not-detected. Visual bloom confirmed. Caution advisory posted. 

4/08/2021: Water sample collected on 4/02/21 detected 0.35 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. No visual indicators of bloom present. No advisory posted.

3/09/2021: Water sample collected on 3/02/21 detected 0.238 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect microcystins, anatoxin-a and cylindrospermopsin non-detect. No advisory posted.

1/8/2021: Water sample collected near shoreline. Testing did not detect microcystins, anatoxin-a and cylindrospermopsin . No advisory posted.",FALSE,1/5/2021,"Lake Isabella, French Gulch Marina",Kern County (661) 862-8740,Region 5 - Central Valley,None,Kern County and US Army Corps of Engineers,Lake,Detail,36,-118
Kern,"Lake Isabella, Kissack Bay",Last verified >90 days ago,4/8/2021,Both,4/2/2021,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms, normally May-Nov or when blooms end. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/. For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella Kissack Bay results are also shown below:
---------------------------------------------------------
4/08/2021: Water sample collected on 4/02/21 detected 0.28 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. No visual indicators of bloom present. No advisory posted.

3/09/2021: Water sample collected on 3/02/21 detected 0.159 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect anatoxin-a and cylindrospermopsin. Low concentration of microcystins detected. No advisory posted.

1/8/2021: Early December water testing detected elevated microcystins and danger advisory was posted. 
January water sample collected near shoreline. Testing detected 0.21 ug/L microcystins and anatoxin-a and cylindrospermopsin non-detect. Advisory removed by Kern County. Caution is recommended.",FALSE,1/5/2021,"Lake Isabella, Kissack Bay",Kern County (661) 862-8740,Region 5 - Central Valley,None,Kern County and US Army Corps of Engineers,Lake and Reservoir,Detail,36,-118
Kern,"Lake Isabella, Old Isabella Road",None,8/5/2021,Both,8/3/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms, normally May-Nov or when blooms end. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/. For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella Old Isabella Road results are also shown below:
---------------------------------------------------------
8/5/21: Water sample collected on 8/3 detected microcystins  at 0.313 ug/L.  No advisory is posted.

7/1/21: Water sample collected on 6/9 detected microcystins and anatoxin-a. Caution advisory is posted.

5/25/2021: Water sample collected on 5/6 detected 54 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were not-detected. Visual bloom confirmed. Danger advisory posted. 

4/08/2021: Water sample collected on 4/02/21 detected 5.5 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. Visual indicators of bloom present. Caution advisory posted. 

3/09/2021: Water sample collected on 3/02/21. Microcystins, anatoxin-a and cylindrospermopsin were below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect microcystins, anatoxin-a and cylindrospermopsin. No advisory posted.

1/8/2021: January water sample collected near shoreline. Testing did not detect microcystins, anatoxin-a and cylindrospermopsin non-detect. Advisory removed by Kern County.

1/4/2021: Caution advisory continues from December 2020.",FALSE,1/5/2021,"Lake Isabella, Old Isabella Road",Kern County (661) 862-8740,Region 5 - Central Valley,None,Kern County and US Army Corps of Engineers,Lake and Reservoir,Detail,36,-118
Kern,"Lake Isabella, Paradise Cove",Warning,8/5/2021,Both,8/5/2021,"NO SWIMMING. Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Do not eat shellfish from this waterbody.",Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/ For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella, Paradise Cove results are also shown below:
************************************************
8/5/21: Water sample collected on 8/3 microcystins at 10.5ug/L. Warning advisory posted.

7/1/21: Water sample collected on 6/9 detected microcystins at 0.74. Caution advisory recommended.

5/25/2021: Water sample collected on 5/6 detected 3.4 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were not-detected. Visual bloom confirmed. Caution advisory posted. 

4/08/2021: Water sample collected on 4/02/21 detected 17.7 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. Warning advisory posted.",FALSE,1/20/2021,"Lake Isabella, Paradise Cove",Kern County (661) 862-8740,Region 5 - Central Valley,Warning,Kern County and US Army Corps of Engineers,Lake and Reservoir,Detail,36,-118
Kern,"Lake Isabella, South Fork Marina",None,8/5/2021,Both,8/3/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/ For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella, South Fork Marina results are also shown below:
************************************************
8/5/21: Water sample collected on 8/3 detected microcystins  at 0.41 ug/L. No  advisory is posted.

7/1/21: Water sample collected on 6/9 detected microcystins and anatoxin-a. Caution advisory is posted.

5/25/2021: Water sample collected on 5/6 detected 9.4 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were not-detected. Visual bloom confirmed. Warning advisory posted. 

4/08/2021: Water sample collected on 4/02/21 detected 0.35 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were detected below trigger levels. Visual indicators of bloom present, caution advisory recommended.

3/09/2021: Water sample collected on 3/02/21 detected microcystins. Anatoxin-a and cylindrospermopsin were below below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect anatoxin-a and cylindrospermopsin. Microcystins detected at 1.1 ug/L. Caution advisory posted.",FALSE,1/20/2021,"Lake Isabella, South Fork Marina",Kern County (661) 862-8740,Region 5 - Central Valley,None,Kern County and US Army Corps of Engineers,Lake and Reservoir,Detail,36,-118
Kern,"Lake Isabella, Stine Cove",Last verified >90 days ago,3/23/2021,Both,3/2/2021,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County and US Army Corps of Engineers,Kern County (661) 862-8740,Kern,FALSE,"Kern County Public Health Services Department monitors Lake Isabella for cyanobacteria blooms, normally May-Nov or when blooms end. Information on advisory levels posted on their Harmful Algal Bloom Monitoring map page: https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/. For more info, contact Kern County Public Health at (661) 862-8740. Lake Isabella Stine Cove results are also shown below:
---------------------------------------------------------
3/09/2021: Water sample collected on 3/02/21 detected 0.213 ug/L of microcystins. Anatoxin-a and cylindrospermopsin were below trigger levels. No advisory posted.

2/12/2021: Water sample collected near shoreline. Testing did not detect anatoxin-a and cylindrospermopsin. Low concentration of microcystins detected. Caution advisory removed.

1/8/2021: Water sample collected near shoreline. Testing detected 2.15 ug/L microcystins and anatoxin-a and cylindrospermopsin non-detect. Caution advisory continues from 2020.",FALSE,1/6/2021,"Lake Isabella, Stine Cove",Kern County (661) 862-8740,Region 5 - Central Valley,None,Kern County and US Army Corps of Engineers,Lake,Detail,36,-118
Kern,Salmon Creek 27,Last verified >30 days ago,7/1/2021,analytical,6/8/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Kern,FALSE,"The Water Boards is performing an ambient monitoring study in coordination with the SWAMP Bioassessment Reference Condition Monitoring Program to collect toxic algal samples in wadeable streams. In 2021, samples will be collected twice at each monitoring station in areas with absent or minimal human disturbance in coordination with California Department of Fish and Wildlife. This study is to better characterize toxic algal mat presence throughout the state of California. The lab results and recommendations for this site is below.
…………………………………………………………………………………………………..
6/8/2021: samples were collected. Lab analysis had low abundance of microcystins at 65.82 ng/g dry weight. Due to toxins detection in algal mats, toxic algae alert advisory recommended.",FALSE,6/8/2021,Salmon Creek 27,,Unknown Region,Caution,,creek,Detail,36,-118
Lake,Blue Slides Creek above Bear Cr.,Last verified >30 days ago,6/30/2021,analytical,6/2/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Lake,FALSE,"The Water Boards is performing an ambient monitoring study in coordination with the SWAMP Bioassessment Reference Condition Monitoring Program to collect toxic algal samples in wadeable streams. In 2021, samples will be collected twice at each monitoring station in areas with absent or minimal human disturbance in coordination with California Department of Fish and Wildlife. This study is to better characterize toxic algal mat presence throughout the state of California. The lab results and recommendations for this site is below.
………………………………………………………………………………………………….
6/2/2021: samples were collected for lab analysis. Results were non-detect fro cyanotoxins. No advisory recommended.",FALSE,6/2/2021,Blue Slides Creek above Bear Cr.,,Unknown Region,none,,creek,Detail,39,-123
Lake,"Cache Creek, NF ~0.4mi above Spanish Cr.",Last verified >30 days ago,6/30/2021,analytical,6/9/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Lake,FALSE,"The Water Boards is performing an ambient monitoring study in coordination with the SWAMP Bioassessment Reference Condition Monitoring Program to collect toxic algal samples in wadeable streams. In 2021, samples will be collected twice at each monitoring station in areas with absent or minimal human disturbance in coordination with California Department of Fish and Wildlife. This study is to better characterize toxic algal mat presence throughout the state of California. The lab results and recommendations for this site is below.
………………………………………………………………………………………………….
6/9/2021: samples were collected for lab analysis. Results were non-detect for cyanotoxins. No advisory recommended.",FALSE,6/9/2021,"Cache Creek, NF ~0.4mi above Spanish Cr.",,Unknown Region,None,,creek,Detail,39,-123
Lake,Clear Lake by Soda Bay,Caution,7/22/2021,Observation,7/21/2021,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",NA,NA,Lake,TRUE,"•	7/21/2021: A HAB report was submitte on 7/21. Report stated that green scum was floating near the shore, the water was turbid and brown.  A seawage-like odoer was observed. A caution advisory is recommended due to the observations.",FALSE,7/20/2021,Clear Lake by Soda Bay,,Region 5 - Central Valley,Caution,,Lake,Detail,39,-123
Lake,Clear Lake- Austin Park (AP01),Last verified >30 days ago,6/29/2021,Analytical,6/21/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Lake County Water Resources Department,Lake County Water Resources Department,Lake,FALSE,"The Big Valley Band of Pomo Indians and the Elem Indian Colony conduct cyanobacteria harmful algal bloom (HAB) sampling in Clear Lake and (Upper) Blue Lakes. HAB sample results and recreational advisories shown below and on Big Valley's Cyanotoxin webpage:
https://www.bvrancheria.com/clearlakecyanotoxins
**************************************************
RESULTS FOR 2021 WINTER MONITORING HAB SAMPLING & RECREATIONAL ADVISORY at Austin Park
6/21/2021: Water samples collected for lab testing. Visual observations of a bloom. Lab results for microcystins were 3.13 ug/L. Caution advisory recommended. 

6/11/2021: Water sample collected for lab testing. No visual observation of a bloom and dead fish of multiple species were present. Caution sign will be removed.

5/25/2021: Water samples were collected on 5/17 and anticipating lab results soon. Visible bloom confirmed. 

05/06/21: Results from samples collected on 4/27 had no cyanotoxins detected. Caution advisory posted.

05/02/21: Results from samples collected on 4/27/2021 had no blooms detected. No advisory at this time. 

01/14/21: Results from samples collected on 12/28/20 had 0.39 ug/L microcystins. No advisory at this time.",FALSE,1/14/2021,Clear Lake- Austin Park (AP01),Lake County Water Resources Department,Region 5 - Central Valley,Caution,Lake County Water Resources Department,Lake,Detail,39,-123
